tier,col,row,x,y,z,crop
2,0,0,0.891,1.065,0.8470000000000001,green oak
2,0,1,0.891,1.2116666666666667,0.8470000000000001,green oak
2,0,2,0.891,1.3583333333333332,0.8470000000000001,green oak
2,0,3,0.891,1.505,0.8470000000000001,green oak
2,0,4,0.891,1.6516666666666664,0.8470000000000001,green oak
2,0,5,0.891,1.7983333333333331,0.8470000000000001,green oak
2,0,6,0.891,1.9449999999999998,0.8470000000000001,green oak
2,1,0,1.1072916666666668,1.065,0.8470000000000001,green oak
2,1,1,1.1072916666666668,1.2116666666666667,0.8470000000000001,green oak
2,1,2,1.1072916666666668,1.3583333333333332,0.8470000000000001,green oak
2,1,3,1.1072916666666668,1.505,0.8470000000000001,green oak
2,1,4,1.1072916666666668,1.6516666666666664,0.8470000000000001,green oak
2,1,5,1.1072916666666668,1.7983333333333331,0.8470000000000001,green oak
2,1,6,1.1072916666666668,1.9449999999999998,0.8470000000000001,green oak
2,2,0,1.3235833333333333,1.065,0.8470000000000001,green oak
2,2,1,1.3235833333333333,1.2116666666666667,0.8470000000000001,green oak
2,2,2,1.3235833333333333,1.3583333333333332,0.8470000000000001,green oak
2,2,3,1.3235833333333333,1.505,0.8470000000000001,green oak
2,2,4,1.3235833333333333,1.6516666666666664,0.8470000000000001,green oak
2,2,5,1.3235833333333333,1.7983333333333331,0.8470000000000001,green oak
2,2,6,1.3235833333333333,1.9449999999999998,0.8470000000000001,green oak
2,3,0,1.5398749999999999,1.065,0.8470000000000001,green oak
2,3,1,1.5398749999999999,1.2116666666666667,0.8470000000000001,green oak
2,3,2,1.5398749999999999,1.3583333333333332,0.8470000000000001,green oak
2,3,3,1.5398749999999999,1.505,0.8470000000000001,green oak
2,3,4,1.5398749999999999,1.6516666666666664,0.8470000000000001,green oak
2,3,5,1.5398749999999999,1.7983333333333331,0.8470000000000001,green oak
2,3,6,1.5398749999999999,1.9449999999999998,0.8470000000000001,green oak
2,4,0,1.7561666666666667,1.065,0.8470000000000001,green oak
2,4,1,1.7561666666666667,1.2116666666666667,0.8470000000000001,green oak
2,4,2,1.7561666666666667,1.3583333333333332,0.8470000000000001,green oak
2,4,3,1.7561666666666667,1.505,0.8470000000000001,green oak
2,4,4,1.7561666666666667,1.6516666666666664,0.8470000000000001,green oak
2,4,5,1.7561666666666667,1.7983333333333331,0.8470000000000001,green oak
2,4,6,1.7561666666666667,1.9449999999999998,0.8470000000000001,green oak
2,5,0,1.9724583333333334,1.065,0.8470000000000001,green oak
2,5,1,1.9724583333333334,1.2116666666666667,0.8470000000000001,green oak
2,5,2,1.9724583333333334,1.3583333333333332,0.8470000000000001,green oak
2,5,3,1.9724583333333334,1.505,0.8470000000000001,green oak
2,5,4,1.9724583333333334,1.6516666666666664,0.8470000000000001,green oak
2,5,5,1.9724583333333334,1.7983333333333331,0.8470000000000001,green oak
2,5,6,1.9724583333333334,1.9449999999999998,0.8470000000000001,green oak
2,6,0,2.1887499999999998,1.065,0.8470000000000001,green oak
2,6,1,2.1887499999999998,1.2116666666666667,0.8470000000000001,green oak
2,6,2,2.1887499999999998,1.3583333333333332,0.8470000000000001,green oak
2,6,3,2.1887499999999998,1.505,0.8470000000000001,green oak
2,6,4,2.1887499999999998,1.6516666666666664,0.8470000000000001,green oak
2,6,5,2.1887499999999998,1.7983333333333331,0.8470000000000001,green oak
2,6,6,2.1887499999999998,1.9449999999999998,0.8470000000000001,green oak
2,7,0,2.4050416666666665,1.065,0.8470000000000001,green oak
2,7,1,2.4050416666666665,1.2116666666666667,0.8470000000000001,green oak
2,7,2,2.4050416666666665,1.3583333333333332,0.8470000000000001,green oak
2,7,3,2.4050416666666665,1.505,0.8470000000000001,green oak
2,7,4,2.4050416666666665,1.6516666666666664,0.8470000000000001,green oak
2,7,5,2.4050416666666665,1.7983333333333331,0.8470000000000001,green oak
2,7,6,2.4050416666666665,1.9449999999999998,0.8470000000000001,green oak
2,8,0,2.6213333333333333,1.065,0.8470000000000001,green oak
2,8,1,2.6213333333333333,1.2116666666666667,0.8470000000000001,green oak
2,8,2,2.6213333333333333,1.3583333333333332,0.8470000000000001,green oak
2,8,3,2.6213333333333333,1.505,0.8470000000000001,green oak
2,8,4,2.6213333333333333,1.6516666666666664,0.8470000000000001,green oak
2,8,5,2.6213333333333333,1.7983333333333331,0.8470000000000001,green oak
2,8,6,2.6213333333333333,1.9449999999999998,0.8470000000000001,green oak
2,9,0,2.837625,1.065,0.8470000000000001,green oak
2,9,1,2.837625,1.2116666666666667,0.8470000000000001,green oak
2,9,2,2.837625,1.3583333333333332,0.8470000000000001,green oak
2,9,3,2.837625,1.505,0.8470000000000001,green oak
2,9,4,2.837625,1.6516666666666664,0.8470000000000001,green oak
2,9,5,2.837625,1.7983333333333331,0.8470000000000001,green oak
2,9,6,2.837625,1.9449999999999998,0.8470000000000001,green oak
2,10,0,3.053916666666667,1.065,0.8470000000000001,green oak
2,10,1,3.053916666666667,1.2116666666666667,0.8470000000000001,green oak
2,10,2,3.053916666666667,1.3583333333333332,0.8470000000000001,green oak
2,10,3,3.053916666666667,1.505,0.8470000000000001,green oak
2,10,4,3.053916666666667,1.6516666666666664,0.8470000000000001,green oak
2,10,5,3.053916666666667,1.7983333333333331,0.8470000000000001,green oak
2,10,6,3.053916666666667,1.9449999999999998,0.8470000000000001,green oak
2,11,0,3.270208333333333,1.065,0.8470000000000001,green oak
2,11,1,3.270208333333333,1.2116666666666667,0.8470000000000001,green oak
2,11,2,3.270208333333333,1.3583333333333332,0.8470000000000001,green oak
2,11,3,3.270208333333333,1.505,0.8470000000000001,green oak
2,11,4,3.270208333333333,1.6516666666666664,0.8470000000000001,green oak
2,11,5,3.270208333333333,1.7983333333333331,0.8470000000000001,green oak
2,11,6,3.270208333333333,1.9449999999999998,0.8470000000000001,green oak
2,12,0,3.4865,1.065,0.8470000000000001,green oak
2,12,1,3.4865,1.2116666666666667,0.8470000000000001,green oak
2,12,2,3.4865,1.3583333333333332,0.8470000000000001,green oak
2,12,3,3.4865,1.505,0.8470000000000001,green oak
2,12,4,3.4865,1.6516666666666664,0.8470000000000001,green oak
2,12,5,3.4865,1.7983333333333331,0.8470000000000001,green oak
2,12,6,3.4865,1.9449999999999998,0.8470000000000001,green oak
2,13,0,3.7027916666666667,1.065,0.8470000000000001,green oak
2,13,1,3.7027916666666667,1.2116666666666667,0.8470000000000001,green oak
2,13,2,3.7027916666666667,1.3583333333333332,0.8470000000000001,green oak
2,13,3,3.7027916666666667,1.505,0.8470000000000001,green oak
2,13,4,3.7027916666666667,1.6516666666666664,0.8470000000000001,green oak
2,13,5,3.7027916666666667,1.7983333333333331,0.8470000000000001,green oak
2,13,6,3.7027916666666667,1.9449999999999998,0.8470000000000001,green oak
2,14,0,3.919083333333333,1.065,0.8470000000000001,green oak
2,14,1,3.919083333333333,1.2116666666666667,0.8470000000000001,green oak
2,14,2,3.919083333333333,1.3583333333333332,0.8470000000000001,green oak
2,14,3,3.919083333333333,1.505,0.8470000000000001,green oak
2,14,4,3.919083333333333,1.6516666666666664,0.8470000000000001,green oak
2,14,5,3.919083333333333,1.7983333333333331,0.8470000000000001,green oak
2,14,6,3.919083333333333,1.9449999999999998,0.8470000000000001,green oak
2,15,0,4.135375,1.065,0.8470000000000001,green oak
2,15,1,4.135375,1.2116666666666667,0.8470000000000001,green oak
2,15,2,4.135375,1.3583333333333332,0.8470000000000001,green oak
2,15,3,4.135375,1.505,0.8470000000000001,green oak
2,15,4,4.135375,1.6516666666666664,0.8470000000000001,green oak
2,15,5,4.135375,1.7983333333333331,0.8470000000000001,green oak
2,15,6,4.135375,1.9449999999999998,0.8470000000000001,green oak
2,16,0,4.351666666666667,1.065,0.8470000000000001,green oak
2,16,1,4.351666666666667,1.2116666666666667,0.8470000000000001,green oak
2,16,2,4.351666666666667,1.3583333333333332,0.8470000000000001,green oak
2,16,3,4.351666666666667,1.505,0.8470000000000001,green oak
2,16,4,4.351666666666667,1.6516666666666664,0.8470000000000001,green oak
2,16,5,4.351666666666667,1.7983333333333331,0.8470000000000001,green oak
2,16,6,4.351666666666667,1.9449999999999998,0.8470000000000001,green oak
2,17,0,4.567958333333333,1.065,0.8470000000000001,green oak
2,17,1,4.567958333333333,1.2116666666666667,0.8470000000000001,green oak
2,17,2,4.567958333333333,1.3583333333333332,0.8470000000000001,green oak
2,17,3,4.567958333333333,1.505,0.8470000000000001,green oak
2,17,4,4.567958333333333,1.6516666666666664,0.8470000000000001,green oak
2,17,5,4.567958333333333,1.7983333333333331,0.8470000000000001,green oak
2,17,6,4.567958333333333,1.9449999999999998,0.8470000000000001,green oak
2,18,0,4.78425,1.065,0.8470000000000001,green oak
2,18,1,4.78425,1.2116666666666667,0.8470000000000001,green oak
2,18,2,4.78425,1.3583333333333332,0.8470000000000001,green oak
2,18,3,4.78425,1.505,0.8470000000000001,green oak
2,18,4,4.78425,1.6516666666666664,0.8470000000000001,green oak
2,18,5,4.78425,1.7983333333333331,0.8470000000000001,green oak
2,18,6,4.78425,1.9449999999999998,0.8470000000000001,green oak
2,19,0,5.000541666666667,1.065,0.8470000000000001,green oak
2,19,1,5.000541666666667,1.2116666666666667,0.8470000000000001,green oak
2,19,2,5.000541666666667,1.3583333333333332,0.8470000000000001,green oak
2,19,3,5.000541666666667,1.505,0.8470000000000001,green oak
2,19,4,5.000541666666667,1.6516666666666664,0.8470000000000001,green oak
2,19,5,5.000541666666667,1.7983333333333331,0.8470000000000001,green oak
2,19,6,5.000541666666667,1.9449999999999998,0.8470000000000001,green oak
2,20,0,5.216833333333334,1.065,0.8470000000000001,green oak
2,20,1,5.216833333333334,1.2116666666666667,0.8470000000000001,green oak
2,20,2,5.216833333333334,1.3583333333333332,0.8470000000000001,green oak
2,20,3,5.216833333333334,1.505,0.8470000000000001,green oak
2,20,4,5.216833333333334,1.6516666666666664,0.8470000000000001,green oak
2,20,5,5.216833333333334,1.7983333333333331,0.8470000000000001,green oak
2,20,6,5.216833333333334,1.9449999999999998,0.8470000000000001,green oak
2,21,0,5.4331249999999995,1.065,0.8470000000000001,green oak
2,21,1,5.4331249999999995,1.2116666666666667,0.8470000000000001,green oak
2,21,2,5.4331249999999995,1.3583333333333332,0.8470000000000001,green oak
2,21,3,5.4331249999999995,1.505,0.8470000000000001,green oak
2,21,4,5.4331249999999995,1.6516666666666664,0.8470000000000001,green oak
2,21,5,5.4331249999999995,1.7983333333333331,0.8470000000000001,green oak
2,21,6,5.4331249999999995,1.9449999999999998,0.8470000000000001,green oak
2,22,0,5.649416666666666,1.065,0.8470000000000001,green oak
2,22,1,5.649416666666666,1.2116666666666667,0.8470000000000001,green oak
2,22,2,5.649416666666666,1.3583333333333332,0.8470000000000001,green oak
2,22,3,5.649416666666666,1.505,0.8470000000000001,green oak
2,22,4,5.649416666666666,1.6516666666666664,0.8470000000000001,green oak
2,22,5,5.649416666666666,1.7983333333333331,0.8470000000000001,green oak
2,22,6,5.649416666666666,1.9449999999999998,0.8470000000000001,green oak
2,23,0,5.865708333333333,1.065,0.8470000000000001,green oak
2,23,1,5.865708333333333,1.2116666666666667,0.8470000000000001,green oak
2,23,2,5.865708333333333,1.3583333333333332,0.8470000000000001,green oak
2,23,3,5.865708333333333,1.505,0.8470000000000001,green oak
2,23,4,5.865708333333333,1.6516666666666664,0.8470000000000001,green oak
2,23,5,5.865708333333333,1.7983333333333331,0.8470000000000001,green oak
2,23,6,5.865708333333333,1.9449999999999998,0.8470000000000001,green oak
2,24,0,6.082,1.065,0.8470000000000001,green oak
2,24,1,6.082,1.2116666666666667,0.8470000000000001,green oak
